wave,flux,fluxerr
350.00000,0.0000000,0.0000000
350.09000,0.0000000,0.0000000
350.18000,0.0000000,0.0000000
350.27000,0.0000000,0.0000000
350.36000,0.0000000,0.0000000
350.45000,0.0000000,0.0000000
350.54000,0.0000000,0.0000000
350.63000,0.0000000,0.0000000
350.72000,0.0000000,0.0000000
350.81000,0.0000000,0.0000000
350.90000,0.0000000,0.0000000
350.99000,0.0000000,0.0000000
351.08000,0.0000000,0.0000000
351.17000,0.0000000,0.0000000
351.26000,0.0000000,0.0000000
351.35000,0.0000000,0.0000000
351.44000,0.0000000,0.0000000
351.53000,0.0000000,0.0000000
351.62000,0.0000000,0.0000000
351.71000,0.0000000,0.0000000
351.80000,0.0000000,0.0000000
351.89000,0.0000000,0.0000000
351.98000,0.0000000,0.0000000
352.07000,0.0000000,0.0000000
352.16000,0.0000000,0.0000000
352.25000,0.0000000,0.0000000
352.34000,0.0000000,0.0000000
352.43000,0.0000000,0.0000000
352.52000,0.0000000,0.0000000
352.61000,0.0000000,0.0000000
352.70000,0.0000000,0.0000000
352.79000,0.0000000,0.0000000
352.88000,0.0000000,0.0000000
352.97000,0.0000000,0.0000000
353.06000,0.0000000,0.0000000
353.15000,9.0000000e-12,0.0000000
353.24000,2.4568561e-05,0.0000000
353.33000,-0.00039366647,-0.0000000
353.42000,-0.028029636,-0.0000000
353.51000,0.18668637,0.0000000
353.60000,0.68225175,0.0000000
353.69000,0.69937772,0.0000000
353.78000,0.70025545,0.0000000
353.87000,0.71324259,0.0000000
353.96000,0.71206939,0.0000000
354.05000,0.70104158,0.0000000
354.14000,0.69859529,0.0000000
354.23000,0.71077448,0.0000000
354.32000,0.72678030,0.0000000
354.41000,0.73396790,0.0000000
354.50000,0.73168808,0.0000000
354.59000,0.72993582,0.0000000
354.68000,0.72931373,0.0000000
354.77000,0.72992551,0.0000000
354.86000,0.73738170,0.0000000
354.95000,0.74923879,0.0000000
355.04000,0.75317413,0.0000000
355.13000,0.74697953,0.0000000
355.22000,0.73576331,0.0000000
355.31000,0.72312665,0.0000000
355.40000,0.71651018,0.0000000
355.49000,0.72164989,0.0000000
355.58000,0.73198533,0.0000000
355.67000,0.73944062,0.0000000
355.76000,0.74450451,0.0000000
355.85000,0.75089478,0.0000000
355.94000,0.75814438,0.0000000
356.03000,0.76582801,0.0000000
356.12000,0.77510196,0.0000000
356.21000,0.78844935,0.0000000
356.30000,0.78836083,0.0000000
356.39000,0.75154036,0.0000000
356.48000,0.69057405,0.0000000
356.57000,0.65714902,0.0000000
356.66000,0.67245352,0.0000000
356.75000,0.69500041,0.0000000
356.84000,0.68155515,0.0000000
356.93000,0.64494753,0.0000000
357.02000,0.63128978,0.0000000
357.11000,0.65252227,0.0000000
357.20000,0.68309110,0.0000000
357.29000,0.69746357,0.0000000
357.38000,0.70378864,0.0000000
357.47000,0.70930523,0.0000000
357.56000,0.71516365,0.0000000
357.65000,0.72597218,0.0000000
357.74000,0.74212575,0.0000000
357.83000,0.75410813,0.0000000
357.92000,0.73449105,0.0000000
358.01000,0.67204559,0.0000000
358.10000,0.62455112,0.0000000
358.19000,0.65053099,0.0000000
358.28000,0.70326400,0.0000000
358.37000,0.69726431,0.0000000
358.46000,0.63474065,0.0000000
358.55000,0.58597046,0.0000000
358.64000,0.58587551,0.0000000
358.73000,0.61548501,0.0000000
358.82000,0.64414877,0.0000000
358.91000,0.66859913,0.0000000
359.00000,0.70801491,0.0000000
359.09000,0.75590330,0.0000000
359.18000,0.77634561,0.0000000
359.27000,0.76205498,0.0000000
359.36000,0.74655622,0.0000000
359.45000,0.75094801,0.0000000
359.54000,0.76899385,0.0000000
359.63000,0.78704315,0.0000000
