STELIB,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,bestfitFLAG,COMMENT,fits
3399063235755057792,3399063235755057792,  4.2416859,  4.5441318,  3.7479024,  0.7962294,NOT_AVAILABLE,      0,false, 21, 20,  0,SAT,HD39587_moy.fits
none,none,  0.0000000,  0.0000000,  0.0000000,  0.0000000,none,      0,none,  0,  0,  0,BS,HD268623_moy.fits
3431586480467585152,3431586480467585152,  6.2435608,  6.4218092,  5.8880734,  0.5337358,NOT_AVAILABLE,      0,true, 51, 48,  0,OK,HD39866_moy.fits
3430863585931719680,3430863585931719680,  6.9106832,  7.4830999,  6.1830754,  1.3000245,NOT_AVAILABLE,      0,true, 37, 35,  0,ESG,HD39949_moy.fits
3429829048565502848,3429829048565502848,  4.7625966,  4.7233915,  4.8042736, -0.0808821,NOT_AVAILABLE,      0,true, 20, 18,  0,ELS,HD40111_moy.fits
2889759622882091392,2889759622882091392,  8.2262955,  8.7594690,  7.5294967,  1.2299724,NOT_AVAILABLE,      0,true, 42, 44,  0,OK,HD041667_moy.fits
3345968334645285376,3345968334645285376,  6.5385699,  6.9421654,  5.9583545,  0.9838109,VARIABLE,      0,true, 21, 21,  0,OK,HD41593_moy.fits
960533671560454400,960533671560454400,  6.0606627,  6.5853391,  5.3782887,  1.2070503,NOT_AVAILABLE,      0,true, 28, 23,  0,OK,HD41636_moy.fits
3436736111893174400,3436736111893174400,  6.9729156,  7.6503086,  6.1735597,  1.4767489,NOT_AVAILABLE,      0,true, 22, 22,  0,ESG,HD42454_moy.fits
3425055656275589632,3425055656275589632,  5.1597300,  6.6472807,  3.9836495,  2.6636312,VARIABLE,      0,false, 15, 15,  0,RSG,HD42543_moy.fits
3369890752727401984,3369890752727401984,  5.3025751,  5.2584805,  5.4045396, -0.1460590,NOT_AVAILABLE,      0,false, 19, 18,  0,OK,HD43153_moy.fits
3324706116226617856,3324706116226617856,  6.1600451,  6.9255157,  5.3147392,  1.6107764,NOT_AVAILABLE,      0,false, 21, 20,  0,RSG,HD45829_moy.fits
3131331054879415680,3131331054879415680,  7.1998286,  7.3067231,  6.9516716,  0.3550515,NOT_AVAILABLE,      0,false, 20, 18,  0,YSO,HD46223_moy.fits
3131898712120792064,3131898712120792064,  6.0160694,  6.0108523,  5.9056625,  0.1051898,NOT_AVAILABLE,      0,false, 17, 14,  0,DMS,HR2422_moy.fits
3326740865570982400,3326740865570982400,  4.5435162,  4.5133061,  4.8737917, -0.3604856,NOT_AVAILABLE,      0,false, 17, 17,  0,SAT/ELS,HD47839_moy.fits
3386444243880652928,3386444243880652928,  6.1573505,  6.6785913,  5.4781804,  1.2004108,NOT_AVAILABLE,      0,false, 18, 17,  0,ESG,HD47731_moy.fits
3384529341302871296,3384529341302871296,  2.6483977,  3.6414475,  2.2281804,  1.4132671,NOT_AVAILABLE,      0,false, 18, 18,  0,SAT/VAR,HD48329_moy.fits
952326504452337792,952326504452337792,  5.1055455,  5.3916125,  4.6552210,  0.7363915,NOT_AVAILABLE,      0,false, 20, 18,  0,OK,HD48682A_moy.fits
952326500157618304,952326500157618304,  7.9186544,  8.8993483,  6.9415727,  1.9577756,NOT_AVAILABLE,      0,false, 19, 19,  0,OK,HD48682B_moy.fits
3113219383954556416,3113219383954556416,  5.6685948,  5.8763161,  5.3109670,  0.5653491,NOT_AVAILABLE,      0,false, 16, 16,  0,OK,HD49933_moy.fits
953708934165979520,953708934165979520,  6.0851793,  6.2486935,  5.7751436,  0.4735498,NOT_AVAILABLE,      0,false, 16, 15,  0,VAR,HD50420_moy.fits
3360882763199831424,3360882763199831424,  5.0911365,  5.9874864,  4.1673627,  1.8201237,NOT_AVAILABLE,      0,false, 15, 14,  0,RSG,HD52005_moy.fits
3366754155291545344,3366754155291545344,  3.5395133,  3.9735370,  2.9866095,  0.9869275,VARIABLE,      0,false, 14, 13,  0,SAT/VAR,HD52973_moy.fits
3152524622542274560,3152524622542274560,  6.0760798,  6.0099950,  6.1671672, -0.1571722,NOT_AVAILABLE,      0,false, 17, 15,  0,OK,HD53929_moy_sso.fits
886479673643853952,886479673643853952,  4.0203161,  4.6582260,  3.2660778,  1.3921483,NOT_AVAILABLE,      0,false, 16, 19,  0,SAT,HD54719_moy.fits
865962683591073408,865962683591073408,  6.4124389,  6.6556129,  5.9978046,  0.6578083,NOT_AVAILABLE,      0,false, 12, 10,  0,OK,HD58551_moy.fits
3134980196535340160,3134980196535340160,  5.1895666,  5.3036880,  4.9630556,  0.3406324,NOT_AVAILABLE,      0,false, 27, 23,  0,OK,HD59881_moy.fits
892348694913501952,892348694913501952,  2.9247973,  3.2107816,  2.7979324,  0.4128492,NOT_AVAILABLE,      0,false,  6,  6,  0,SAT/DMS,HD60178_moy.fits
3086226785806303104,3086226785806303104,  9.0652351,  9.1192570,  8.9311666,  0.1880903,NOT_AVAILABLE,      0,true, 32, 32,  0,OK,HD60778_moy.fits
3057302723688977536,3057302723688977536,  5.0144424,  5.2520075,  4.6446981,  0.6073093,NOT_AVAILABLE,      0,false, 38, 34,  0,VAR,HD61064_moy.fits
5717278911884258176,5717278911884258176, 12.9702072, 13.0894194, 12.7477074,  0.3417120,NOT_AVAILABLE,      0,true, 70, 64,  0,WD,none
5588607120530408832,5588607120530408832,  5.1940136,  5.5013371,  4.7056036,  0.7957335,NOT_AVAILABLE,      0,true, 42, 40,  0,OK,HD063077_moy.fits
880495478530513920,880495478530513920,  8.0937271,  8.4310732,  7.5702372,  0.8608360,NOT_AVAILABLE,      0,true, 35, 32,  0,OK,HD64090_moy.fits
876370076542359936,876370076542359936,  6.7788324,  7.1548128,  6.2237077,  0.9311051,NOT_AVAILABLE,      0,false, 28, 26,  0,OK,HD65583_moy.fits
681096777089578112,681096777089578112,  5.5087924,  5.9232678,  4.9266448,  0.9966230,NOT_AVAILABLE,      0,false, 27, 22,  0,OK,HD67767_moy.fits
683184784030475520,683184784030475520,  4.9888620,  5.2500377,  4.5903673,  0.6596704,NOT_AVAILABLE,      0,true, 27, 25,  0,OK,HD69897_moy.fits
916230087468692864,916230087468692864,  3.6137371,  4.5165801,  2.7358654,  1.7807148,NOT_AVAILABLE,      0,false, 21, 22,  0,none,HD70272_moy.fits
910913124113802880,910913124113802880,  5.5829811,  6.1292868,  4.8837266,  1.2455602,NOT_AVAILABLE,      0,true, 37, 36,  0,DMS,HD72184_moy.fits
678420806306593536,678420806306593536,  6.0869074,  6.5826421,  5.4308424,  1.1517997,NOT_AVAILABLE,      0,true, 34, 34,  0,OK,HD72324_moy.fits
3079329274484276480,3079329274484276480,  4.2679243,  4.1553445,  4.4091067, -0.2537622,NOT_AVAILABLE,      0,true, 44, 38,  0,SAT,HR3454_moy_sso.fits
705156050012755712,705156050012755712,  3.7832348,  4.2888284,  3.1322632,  1.1565652,NOT_AVAILABLE,      0,true, 41, 40,  0,SAT,HD74739_moy.fits
704967037090946688,704967037090946688,  5.7326808,  6.1556811,  5.1470094,  1.0086718,NOT_AVAILABLE,      0,true, 44, 42,  1,OK,HD75732_moy.fits
5760701787150565888,5760701787150565888,  5.8466349,  6.1758718,  5.3507657,  0.8251061,NOT_AVAILABLE,      0,true, 28, 28,  0,OK,HD76151_moy.fits
816649002967779584,816649002967779584,  3.9596081,  4.0784917,  3.4646406,  0.6138511,NOT_AVAILABLE,      0,true, 35, 40,  0,SAT,HD76943_moy.fits
688237795874306944,688237795874306944,  5.4373121,  5.4178362,  5.4456620, -0.0278258,NOT_AVAILABLE,      0,true, 24, 20,  0,DMS,HD77350_moy.fits
691883638993231616,691883638993231616,  7.1213732,  7.8876581,  6.2649460,  1.6227121,NOT_AVAILABLE,      0,true, 28, 27,  0,OK,HD77729_moy.fits
592021045155272832,592021045155272832,  5.1893725,  5.1580377,  5.2549939, -0.0969563,NOT_AVAILABLE,      0,true, 44, 36,  0,VAR,HD78316_moy.fits
689004018040211072,689004018040211072,  5.7936783,  6.1276078,  5.2835612,  0.8440466,NOT_AVAILABLE,      0,true, 25, 22,  0,DMS,HD78418_moy.fits
817013387993056640,817013387993056640,  5.2414556,  5.1993136,  5.3402667, -0.1409531,NOT_AVAILABLE,      0,true, 36, 29,  0,VAR,HD79158_moy.fits
