CALSPEC_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj
SF1615+001A,4408086362237875072, 16.5747204, 16.9329395, 16.0186501,  0.9142895,NOT_AVAILABLE,      0,true, 28, 26,sf1615_001a_stisnic_010.fits.csv,OK,  0,   1.00,   0.12,   0.12,   4.92,   4.92,   1.51,   6.33
SIGMA_ORI,3216486443742786048,  3.7901659,  3.6425619,  3.9755402, -0.3329782,VARIABLE,      0,true, 26, 26,sigori_stis_001.fits.csv,SAT,  0,   1.06,   0.04,   0.05,   3.23,   1.84,   2.66,   0.87
SNAP-2,1429541695100150656, 16.0641708, 16.4039898, 15.5502834,  0.8537064,NOT_AVAILABLE,      0,true, 38, 36,snap2_stiswfcnic_005.fits.csv,OK,  1,   1.01,   0.04,   0.04,   1.15,   1.14,   0.98,   1.24
VB8,4339417394313320192, 13.8132887, 17.0531693, 12.3241930,  4.7289762,NOT_AVAILABLE,      0,true, 60, 60,vb8_stiswfcnic_004.fits.csv,VAR,  0,   1.02,   0.07,   0.07,   4.84,   4.83,   5.53,   4.30
WD0148+467,356922880493142016, 12.4955883, 12.4696569, 12.5878105, -0.1181536,VARIABLE,      0,true, 36, 36,wd0148_467_stiswfc_001.fits.csv,OK,  0,   1.00,   0.03,   0.03,   1.80,   1.79,   2.42,   1.16
WD0227+050,2516322146457318144, 12.8205395, 12.7449713, 12.9962368, -0.2512655,NOT_AVAILABLE,      0,true, 25, 24,wd0227_050_stiswfc_002.fits.csv,OK,  1,   1.00,   0.03,   0.03,   1.48,   1.49,   1.82,   1.21
WD0308-565,4727581523318486912, 14.1032095, 14.0062389, 14.2750158, -0.2687769,NOT_AVAILABLE,      0,true, 53, 52,wd0308_565_stis_009.fits.csv,OK,  1,   1.01,   0.03,   0.03,   1.77,   1.86,   2.34,   1.42
WD0809+177,657056745624156416, 13.4290581, 13.3756266, 13.5516300, -0.1760035,VARIABLE,      0,true, 46, 44,wd0809_177_stiswfc_002.fits.csv,OK,  0,   1.00,   0.04,   0.04,   1.43,   1.45,   1.78,   1.16
WD1057+719,1074013923063975680, 14.7011976, 14.5412283, 15.0238276, -0.4825993,NOT_AVAILABLE,      0,true, 52, 48,wd1057_719_stisnic_011.fits.csv,OK,  1,   1.00,   0.05,   0.05,  10.51,  10.52,   1.72,  13.72
WD1105-048,3788194488314248832, 13.0905704, 13.0450230, 13.2140388, -0.1690159,VARIABLE,      0,true, 28, 24,wd1105_048_stiswfc_002.fits.csv,OK,  0,   1.00,   0.03,   0.03,   1.49,   1.49,   1.75,   1.27
WD1105-340,5401688425816913920, 13.6999807, 13.6860476, 13.7713184, -0.0852709,VARIABLE,      0,true, 44, 41,wd1105_340_stiswfc_002.fits.csv,OK,  0,   1.00,   0.03,   0.03,   1.41,   1.41,   1.75,   1.12
WD1202-232,3489719481290397696, 12.7380886, 12.8429155, 12.5482512,  0.2946644,NOT_AVAILABLE,      0,true, 50, 51,wd1202_232_stiswfc_002.fits.csv,OK,  1,   1.00,   0.02,   0.02,   2.07,   2.07,   2.61,   1.58
WD1327-083,3630035787972473600, 12.3551092, 12.3233767, 12.4575386, -0.1341619,NOT_AVAILABLE,      0,true, 35, 33,wd1327_083_stiswfc_004.fits.csv,OK,  1,   1.00,   0.03,   0.03,   1.77,   1.72,   2.27,   1.19
WD1544-377,6009537829925128064, 13.0008078, 13.0359230, 12.9313536,  0.1045694,NOT_AVAILABLE,      0,true, 30, 29,wd1544_377_stiswfc_002.fits.csv,OK,  1,   1.00,   0.03,   0.03,   1.65,   1.65,   2.12,   1.23
WD1657+343,1337946019956816256, 16.4215260, 16.2604542, 16.7572575, -0.4968033,NOT_AVAILABLE,      0,true, 46, 45,wd1657_343_stiswfcnic_006.fits.csv,OK,  0,   0.98,   0.05,   0.05,   0.98,   0.91,   1.12,   0.74
WD1713+695,1638563322306634368, 13.3278608, 13.2816744, 13.4495449, -0.1678705,VARIABLE,      0,true, 38, 35,wd1713_695_stiswfc_002.fits.csv,OK,  0,   1.00,   0.04,   0.04,   1.68,   1.67,   2.12,   1.25
WD1911+536,2140481412496465152, 13.2471437, 13.1889572, 13.3905773, -0.2016201,VARIABLE,      0,true, 37, 38,wd1911_536_stiswfc_001.fits.csv,OK,  0,   1.01,   0.03,   0.03,   1.57,   1.60,   2.21,   0.95
WD1919+145,4319908862597055232, 13.0189419, 12.9803782, 13.1257010, -0.1453228,NOT_AVAILABLE,      0,true, 41, 42,wd1919_145_stiswfc_001.fits.csv,OK,  1,   1.00,   0.03,   0.03,   1.68,   1.68,   2.10,   1.33
WD2039-682,6424566979354709248, 13.3394747, 13.2878809, 13.4688854, -0.1810045,NOT_AVAILABLE,      0,true, 60, 58,wd2039_682_stiswfc_001.fits.csv,OK,  1,   1.00,   0.03,   0.03,   1.85,   1.85,   2.19,   1.58
WD2117+539,2176116580055936512, 12.3932037, 12.3552694, 12.4958658, -0.1405964,NOT_AVAILABLE,      0,true, 55, 54,wd2117_539_stiswfc_002.fits.csv,OK,  1,   1.00,   0.04,   0.04,   2.34,   2.27,   2.60,   2.01
WD2126+734,2274076297221555968, 12.8873272, 12.8360052, 12.9889755, -0.1529703,NOT_AVAILABLE,      0,true, 38, 34,wd2126_734_stiswfc_002.fits.csv,OK,  0,   1.01,   0.03,   0.03,   1.62,   1.62,   2.20,   1.02
WD2149+021,2693940725141960192, 12.7767496, 12.7134771, 12.9301100, -0.2166328,NOT_AVAILABLE,      0,true, 25, 23,wd2149_021_stiswfc_001.fits.csv,OK,  1,   1.00,   0.04,   0.04,   1.60,   1.60,   2.02,   1.23
WD2341+322,2871730307948650368, 12.9669209, 12.9641352, 13.0074120, -0.0432768,NOT_AVAILABLE,      0,true, 37, 38,wd2341_322_stiswfc_004.fits.csv,OK,  1,   1.01,   0.03,   0.03,   1.59,   1.56,   1.97,   1.19
