SPSS_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj,flaggap
HD_180711,2255173119658513408,  2.8079169,  3.6039166,  2.3575332,  1.2463834,NOT_AVAILABLE,      0,True, 25, 25,180711.fits.csv,SAT,  0,     0.86,     0.17,     0.12,     4.25,     2.72,     2.64,     1.45 , 0
HD_180890,4515409726606328448,  8.1747818,  8.5310221,  7.6480703,  0.8829517,NOT_AVAILABLE,      0,True, 62, 58,180890.fits.csv,OK,  0,  3865.83,     0.26,  5244.17,   123.44,    29.95,    24.56,    33.52 , 1
HD_180968,2022245532721403776,  5.4459100,  5.4403224,  5.3847880,  0.0555344,NOT_AVAILABLE,      0,True, 74, 68,180968.fits.csv,VAR,  0,     1.67,     0.21,     0.39,    41.76,    18.56,    26.36,     4.86 , 0
HD_181096,2127789646700855040,  5.8986073,  6.1387835,  5.4952307,  0.6435528,NOT_AVAILABLE,      0,True, 24, 22,181096.fits.csv,OK,  1,     1.09,     0.06,     0.05,     5.23,     3.99,     1.81,     0.89 , 0
HD_181276,2139664063041544576,  3.5440130,  4.0929103,  2.9072344,  1.1856759,NOT_AVAILABLE,      0,True, 28, 28,181276.fits.csv,SAT,  0,     0.97,     0.09,     0.08,     4.97,     4.76,     4.11,     0.73 , 0
HD_182293,4515944295425699200,  6.7752228,  7.3595691,  6.0473819,  1.3121872,NOT_AVAILABLE,      0,True, 77, 70,182293.fits.csv,OK,  1,     0.93,     0.07,     0.04,     7.71,     7.58,     0.82,     0.88 , 0
HD_182568,2038567370506134528,  4.9318209,  4.8821182,  5.0335922, -0.1514740,NOT_AVAILABLE,      0,True, 38, 29,182568.fits.csv,OK,  0,     1.28,     0.12,     0.17,    17.05,     7.32,     9.24,     1.46 , 0
HD_182572,4315804351350378496,  4.9713717,  5.3498182,  4.4456034,  0.9042149,NOT_AVAILABLE,      0,True, 48, 45,182572.fits.csv,OK,  0,  1857.87,     0.26,     0.25,    91.61,    91.56,    14.94,   125.14 , 1
HD_182761,4515911103915737600,  6.3032370,  6.2859740,  6.3022861, -0.0163121,NOT_AVAILABLE,      0,True, 80, 76,182761.fits.csv,OK,  0,   931.70,     0.13,     0.12,    71.46,    71.42,     2.17,    96.34 , 1
HD_182762,4515855716012824704,  4.8684735,  5.3775735,  4.2104678,  1.1671057,NOT_AVAILABLE,      0,True, 89, 82,182762.fits.csv,OK,  1,     1.02,     0.03,     0.03,    10.29,    10.29,     0.57,     0.81 , 0
HD_183085,4292688321964796800,  6.6311216,  6.8218317,  6.2896719,  0.5321598,NOT_AVAILABLE,      0,True, 28, 25,183085.fits.csv,OK,  0,  1616.00,     0.20,     0.24,    32.33,    32.08,     5.77,    43.72 , 1
HD_183144,4319684527866830592,  6.2977939,  6.2585673,  6.3280902, -0.0695229,NOT_AVAILABLE,      0,True, 40, 35,183144.fits.csv,VAR,  0,     1.11,     0.06,     0.07,     7.23,     3.93,     3.78,     1.62 , 0
HD_184499,2045599984313800448,  6.4778194,  6.7785139,  5.9992971,  0.7792168,NOT_AVAILABLE,      0,True, 41, 38,184499.fits.csv,OK,  1,     1.01,     0.03,     0.03,     3.97,     3.99,     1.45,     1.32 , 0
HD_18474,434490715712928896,  5.2031908,  5.6890516,  4.5575047,  1.1315470,NOT_AVAILABLE,      0,True, 25, 26,18474.fits.csv,OK,  0,     1.10,     0.06,     0.06,     6.17,     5.80,     1.30,     1.06 , 0
HD_184875,2077737571001053312,  5.2996554,  5.3527093,  5.2332907,  0.1194186,NOT_AVAILABLE,      0,True, 36, 33,184875.fits.csv,OK,  0,  1077.92,     0.13,     0.14,    57.82,    57.83,     2.92,    77.81 , 1
HD_185351,2078403295235690112,  4.9214401,  5.3958507,  4.2958503,  1.1000004,NOT_AVAILABLE,      0,True, 32, 29,185351.fits.csv,OK,  1,     0.97,     0.05,     0.03,     5.47,     5.34,     0.75,     0.68 , 0
HD_185657,2135001343467043200,  6.2027788,  6.6985369,  5.5436010,  1.1549358,NOT_AVAILABLE,      0,True, 26, 23,185657.fits.csv,BIN,  0,  3150.10,     0.39,     0.37,    44.95,    44.09,     3.73,    59.72 , 1
HD_185859,1825776823625111808,  6.4028563,  6.5952764,  6.0363088,  0.5589676,NOT_AVAILABLE,      0,True, 43, 39,185859.fits.csv,ELS,  0,     2.62,     0.38,     0.72,    54.96,    27.98,    39.00,    12.23 , 0
HD_186307,2076394762376371200,  6.3907547,  6.2767148,  6.0213294,  0.2553854,NOT_AVAILABLE,      0,True, 32, 29,186307.fits.csv,VAR,  0,  1155.61,     0.19,     0.16,    12.02,    11.77,     1.25,    16.95 , 1
HD_186377,2034805975597833856,  5.9001722,  5.9634132,  5.7416763,  0.2217369,NOT_AVAILABLE,      0,True, 42, 35,186377.fits.csv,OK,  0,  1129.10,     0.16,     0.14,    68.86,    68.75,     1.57,    91.00 , 1
HD_186408,2135550755683405952,  5.8180733,  6.1409054,  5.3276587,  0.8132467,NOT_AVAILABLE,      0,True, 31, 31,186408.fits.csv,DMS,  0,  1934.15,     0.20,     0.19,    61.64,    61.63,     0.63,    86.12 , 1
