counter,NAME,source_id,RA,DEC,flagbest,flagSIMBAD,library,primary,sepa
592,X0548,5097726306014470016,62.264241,-15.890849,0,ChP,+XSL+NGSL+INDO+MILES,0,41.94828581367639
594,X0550,5546929513812569856,126.16606,-32.92404,0,BIN,+XSL+NGSL,0,27.572897666241353
599,X0556,3121767949417094528,95.24657,0.239557,0,OK,+XSL,0,48.12653303688305
612,X0570,2984998873403435008,80.587534,-14.397241,0,OK,+XSL+MILES,0,35.643520593059996
614,X0572,2999846575346395264,95.660691,-12.884738,0,OK,+XSL,0,35.00342618448217
615,X0573,5648333210624292224,137.264038,-27.030364,0,OK,+XSL+MILES,0,38.614080549122285
616,X0578,3122668346360478976,91.285692,0.866496,1,OK,+XSL,0,48.8793285689402
617,X0579,3122130169776904832,91.601773,-0.963367,0,DMS,+XSL,0,47.033616682725764
623,X0585,5617564477239812864,108.261138,-24.225575,1,OK,+XSL+NGSL+MILES,0,25.792236731868044
626,X0593,2889759622882091392,91.265184,-32.994091,0,OK,+XSL+NGSL+STELIB,0,15.202095251026332
707,X0755,4688993681762966400,14.090405,-72.459955,0,ESG,+XSL,0,42.423249852901506
708,X0757,4688993402542368512,14.094064,-72.476615,0,ESG,+XSL,0,42.4190592023891
718,X0796,3179824465465177984,72.426017,-13.769669,0,OK,+XSL+INDO+MILES,0,39.04727118260766
719,X0797,4657660795812170368,83.589276,-69.366748,0,RSG,+XSL,0,22.23809067059308
720,X0809,4657766245829931136,85.478037,-68.621876,0,VAR,+XSL,0,21.30842363262687
722,X0821,4657140039643647360,83.60555,-70.394007,0,VAR,+XSL,0,23.19739877387233
723,X0824,4657379389531307008,86.746881,-70.104344,0,OK,+XSL,0,22.599798128111637
725,X0827,4809142471233678208,82.967622,-38.556679,0,ChP,+XSL+NGSL,0,12.92867994562015
726,X0828,3049241929068576640,103.050209,-11.097901,0,OK,+XSL,0,37.35881875108355
727,X0829,2927005918574498304,101.429216,-20.852667,0,OK,+XSL,0,27.480909113225056
729,X0832,3218445979621236992,88.758159,-0.507972,0,OK,+XSL+INDO+MILES,0,47.71908965038909
737,X0841,3034578464047878272,111.6669,-11.587125,0,BIN,+XSL,0,38.79953908077704
738,X0842,3053492881541641600,113.024012,-8.881327,0,OK,+XSL+INDO+MILES,0,41.783143968294965
748,X0861,5525081496202448000,130.177714,-42.34072,0,OK,+XSL,0,24.996367648540378
749,X0863,5709390701922940416,130.211682,-16.345143,0,OK,+XSL+CALSPEC+MILES,0,42.56421972228969
751,X0866,5660878702718068864,148.413511,-22.835673,0,ChP,+XSL+MILES,0,48.78030494484987
788,BD-122669,5735105839354643584,131.664902,-13.357057,0,BIN,+NGSL+MILES,0,45.82598498451844
866,HD018907,5071514326764428544,45.406793,-28.091494,0,OK,+NGSL+MILES,0,43.08479919804259
888,HD029574,3174810211405980032,69.732221,-13.346704,0,VAR,+NGSL+STELIB+INDO,0,40.55494902648492
891,HD031128,4881345510044485120,73.04129,-27.06415,0,OK,+NGSL+CALSPEC+MILES,0,27.10861564213448
894,HD032147,3211461469444773376,75.204163,-5.753672,0,OK,+NGSL+INDO+MILES,0,45.49881660070669
897,HD033793,4810594479418041856,77.919122,-45.018432,0,planet,+NGSL,0,12.291524329788352
901,HD034797,2969549291923535488,79.826304,-18.509547,0,VAR,+NGSL+INDO,0,31.96984501356884
902,HD034816,2988329637719192960,79.89385,-13.176789,0,SAT,+NGSL+STELIB+CALSPEC+INDO,0,37.008194600173
905,HD036395,3209938366665770752,82.864149,-3.677228,0,OK,+NGSL+MILES,0,45.48750004945732
906,HD036960,3017187866581304832,83.76117,-6.002029,0,OK,+NGSL,0,43.03103208353757
909,HD037763,4648162939452971008,82.970133,-76.340914,0,OK,+NGSL,0,28.89088409419343
910,HD037828,3010244175773318144,85.227687,-11.200053,0,ChP,+NGSL+STELIB+INDO+MILES,0,37.65037265743841
911,HD038510,2907902320654958976,86.29027,-26.991789,0,OK,+NGSL,0,22.051782699263303
919,HD044420,3118688251708604928,95.431401,-0.539126,0,OK,+NGSL,0,47.34793445902476
923,HD052089,none,104.656453,-28.972086,0,none,+NGSL,0,20.246322662363443
924,HD052265,3101382419728401408,105.075149,-5.367161,0,planet,+NGSL,0,43.33352431726405
926,HD054361,3045373881522901632,107.014318,-11.923276,0,C,+NGSL,0,37.27403623936283
927,HD055057,3111154810353133184,107.848399,-0.301929,0,VAR,+NGSL,0,48.81415428957264
929,HD057118,2931284534938925696,109.758003,-19.280306,0,ESG,+NGSL,0,30.91725927487223
932,HD059612,5618683092877834368,112.464217,-23.024288,0,BIN,+NGSL+MILES,0,28.374024015166576
934,HD062412,5613806071620843392,115.700635,-26.351326,1,OK,+NGSL,0,26.806176996847107
938,HD065228,5711199471578643200,119.214745,-22.880121,0,SAT?,+NGSL+MILES,0,31.431770137417576
939,HD065354,5593650614728594176,119.262602,-34.378432,0,OK,+NGSL,0,22.38078582588299
944,HD069083A,5541217413464157696,123.48283,-37.678465,0,DMS,+NGSL,0,22.884229682684815
945,HD069830,5726982995343100928,124.599779,-12.632169,0,planet,+NGSL+INDO+MILES,0,42.86658897776485
950,HD072968,5753752736224380544,128.867495,-7.982292,0,VAR,+NGSL+INDO,0,48.971716535413954
952,HD074088,5300811257630147200,129.616085,-62.843239,1,OK,+NGSL,0,24.093783652862328
960,HD078647,none,136.998991,-43.432591,0,none,+NGSL,0,29.112855598619404
962,HD079349,5326028110134118272,137.929322,-48.773183,1,OK,+NGSL,0,27.97533006001659
969,HD082734,5676911545051183872,143.301916,-21.115722,1,OK,+NGSL+MILES,0,46.693593629784715
976,HD089388,5253347574087339776,154.27073,-61.332302,0,SAT,+NGSL,0,35.23736356532262
985,HD096446,5338490937045044096,166.524257,-59.949871,0,VAR,+NGSL,0,41.38755001000891
1176,5,4646535078125821568,47.62925,-68.600939,1,OK,+SPSS,1,31.194761537737325
1179,8,5639391810273308416,130.38567,-32.943028,1,OK,+SPSS,1,30.233763371211364
1180,9,2910503176753011840,89.103083,-27.858989,0,ChP,+SPSS,1,20.60160268958086
1183,12,5332606522595645952,176.42883,-64.841517,0,OK,+SPSS,1,44.31863779078258
1204,40,4855735169813450624,57.094208,-39.143614,0,ChP,+SPSS,1,28.727658096336782
1205,41,5444093531284061568,158.05667,-35.628278,1,OK,+SPSS,1,47.020667640540324
1219,106,4613863502423915008,47.49975,-84.722531,1,OK,+SPSS,1,38.73007234295794
1220,109,2941993086693170176,91.555792,-20.352,1,OK,+SPSS,1,27.701732855336903
1221,110,5575007845317435648,95.802625,-37.691114,1,OK,+SPSS,1,10.202165999084135
1256,167,3186021141200137472,69.447542,-8.819617,1,OK,+SPSS,1,44.762346293394955
1258,173,2921786919133198848,102.23371,-25.396378,1,OK,+SPSS,1,23.143209252549724
1260,175,5612710511362093184,110.83375,-27.789333,0,OK,+SPSS,1,23.44137758857529
1261,177,5538507082940921472,117.88575,-38.476781,0,OK,+SPSS,1,18.85904126828173
1262,181,5242316444456199808,148.84537,-71.302325,1,OK,+SPSS,1,33.856119775120476
1264,186,5860131207828395648,186.67508,-66.205131,0,OK,+SPSS,1,47.753513975543804
1286,230,3022956969731332096,88.789708,-4.168631,1,OK,+SPSS,1,44.07584687395049
1289,237,5353122722363361920,163.80642,-55.3181,0,OK,+SPSS,1,41.418812801776355
1337,344,4659706918202567936,89.198917,-66.651456,0,ChP,+SPSS,1,19.031720082304215
1338,345,4659680529922228096,89.889,-67.020478,1,OK,+SPSS,1,19.337206841708
1339,346,4755812790042069888,89.99425,-66.102475,0,OK,+SPSS,1,18.42850908690267
1340,347,5476400477145058816,90.17225,-66.053897,0,OK,+SPSS,1,18.36687843518402
1341,348,5284204302730217984,90.547333,-66.583092,1,OK,+SPSS,1,18.85996453931075
1342,349,5284151216932205312,90.616167,-66.791306,0,OK,+SPSS,1,19.060507184876478
1352,HD268623,none,73.045833,-66.702222,0,BS,+STELIB,0,22.06030830879857
1353,HD268749,4655363946042099200,73.370833,-69.409444,0,BS,+STELIB,0,24.04951043386895
1354,HD032034,4661730912968569984,73.795833,-67.169444,0,BS,+STELIB,0,22.21486720244018
1355,HD268819,4655136518933846784,73.88525,-69.962528,0,ESG,+STELIB,0,24.382364888228857
1356,HD033133,4662107598784242432,75.783333,-66.678333,0,ELS,+STELIB,0,21.341480900605664
1357,HD033579,4661472149794844288,76.481292,-67.886361,0,ESG,+STELIB,0,22.152009813151945
1360,HD271163,4660612881443486720,79.716667,-65.689444,0,ESG,+STELIB,0,19.617601948124154
1362,GV319,4660366865739053696,82.229167,-66.025,0,OK,+STELIB,0,19.39733325260584
1363,HD269687,4658430831899380736,82.854167,-69.093056,0,ELS,+STELIB,0,22.08116360021496
1364,HD269697,4660124762671796096,82.910083,-67.469889,0,ESG,+STELIB,0,20.58316904459211
1365,HD269698,4660121743354291328,82.925,-67.635,0,BS,+STELIB,0,20.731591488848004
1366,HD036512,3016424530632449280,82.98275,-7.301528,0,SAT,+STELIB,0,41.91813631277441
1367,HD036673,2971266110612490624,83.182542,-17.822306,0,SAT/VAR,+STELIB+INDO,0,31.656249449436988
1368,HD037680,4657273527236871552,83.575,-69.75,0,ELS,+STELIB,0,22.59780450781407
1369,HD269781,4660246228686276096,83.593625,-67.023222,0,ESG,+STELIB,0,20.067827465846207
1370,HD038282,4657686222022977920,84.720833,-69.033611,0,ELS,+STELIB,0,21.786497007433088
1386,HD049933,3113219383954556416,102.707583,-0.540417,0,OK,+STELIB+MILES,0,47.77978658492391
1410,HD086161,1020761860511681024,148.720458,-57.727306,0,ELS,+STELIB+INDO+MILES,0,32.79012505571555
1426,HD093250,724786936769969664,161.187667,-59.565194,0,OK,+STELIB+INDO,0,38.88245210373828
1441,LTT4364,4024224519144742528,176.429167,-64.841389,0,WD,+STELIB+MILES,0,44.31881426591392
1538,2MASSJ05591914-1404488,2997171394834174976,89.829947,-14.080335,0,OK,+CALSPEC,0,34.111583338429995
1546,C26202,5057499161282786432,53.13697,-27.863428,1,OK,+CALSPEC,0,38.179993017205234
1548,ETA1_DOR,5284258831636637440,91.539091,-66.039621,0,BIN,+CALSPEC,0,18.26082078525993
1564,HD14943,4746011090546864640,35.727813,-51.092128,0,OK,+CALSPEC,0,37.7680377113732
1573,HD185975,6342346358822630400,307.078083,-87.472205,1,OK,+CALSPEC,0,44.27839669104642
1579,HD37962,2902205991429301888,85.216524,-31.351107,1,OK,+CALSPEC,0,18.235600193362114
1580,HD38949,2915523482424724224,87.083578,-24.463848,1,OK,+CALSPEC,0,24.31255075574827
1582,HD607537,5493730399606077440,113.363828,-50.584254,0,OK,+CALSPEC,0,12.059925402742465
1593,MU_COL,2901155648586891648,86.499562,-32.306433,0,SAT,+CALSPEC,0,16.94882254907515
1594,NGC2506-G31,3038045185547143936,120.059217,-10.791519,0,OK,+CALSPEC,0,42.512625067246375
1611,SIGMA_ORI,3216486443742786048,84.686521,-2.600078,0,SAT,+CALSPEC,0,46.20545370964642
1616,WD0308-565,4727581523318486912,47.449658,-56.397058,1,OK,+CALSPEC,0,29.903820441536816
2185,HD_29613,3174118893469667328,69.832125,-14.359194,9,OK,+INDO,0,39.60665328991531
2190,HD_30814,2981103853463479040,72.548417,-16.217167,9,OK,+INDO,0,36.78001880173137
2192,HD_31996,2987082722815713792,74.901458,-14.80625,9,OK,+INDO,0,37.13593614324354
2196,HD_33111,3211922645854328832,76.962458,-5.086444,9,SAT,+INDO,0,45.59171414711059
2198,HD_33608,3214665240169427072,77.829917,-2.490778,9,OK,+INDO+MILES,0,47.83550989436619
2200,HD_33904,2983168461421919488,78.232917,-16.205472,9,SAT_VAR_BIN,+INDO,0,34.65527498697724
2206,HD_35369,3015112126066981376,80.986792,-7.808056,9,SAT,+INDO+MILES,0,41.88334070863384
2207,HD_35410,3220473410343579136,81.120458,-0.891333,9,BIN,+INDO,0,48.57830399904809
2211,HD_37043,3017190546641718144,83.85825,-5.909889,9,SAT_BIN,+INDO,0,43.10248268395833
2216,HD_37986,2972016080621222528,85.473708,-15.630556,9,OK,+INDO,0,33.26169316247929
2225,HD_39853,2998706965902558720,88.681792,-11.774194,9,OK,+INDO+MILES,0,36.53722016178517
2228,HD_40536,3011410242215060224,89.767958,-9.55825,9,BIN,+INDO,0,38.61342175729467
2234,HD_41692,3021267123439546496,91.661417,-4.193833,9,OK,+INDO+MILES,0,43.80545502141123
2241,HD_43232,3019816764523863552,93.713875,-6.274778,9,SAT,+INDO,0,41.63448692691211
2245,HD_43827,2944471321481716224,94.423833,-16.815917,9,VAR,+INDO,0,31.079557450291976
2251,HD_44951,3001125513527026304,96.043,-11.530083,9,OK,+INDO,0,36.36205160411489
2255,HD_45674,3119928088506688128,97.196083,-0.572417,9,OK,+INDO,0,47.342823938373364
2257,HD_46184,3000111317134691712,97.846,-12.391944,9,OK,+INDO,0,35.55822931652453
2263,HD_47205,2939555954755196160,99.171,-19.255889,9,SAT_Planet,+INDO+MILES,0,28.802360956185595
2276,HD_51309,2934094096385049728,104.03425,-17.05425,9,SAT_BS,+INDO,0,31.652055197622524
2283,HD_54662,3046582725837564800,107.334375,-10.346556,9,BIN,+INDO,0,38.88105196729976
2285,HD_54810,3059491988786433536,107.557,-4.237111,9,OK,+INDO+MILES,0,44.89891027600134
2295,HD_58526,3055514677265415424,111.463333,-5.774972,9,OK,+INDO,0,44.316076192136144
2300,HD_61935,3041619014955371392,115.311792,-9.551139,9,SAT,+INDO+MILES,0,41.8836386633577
2302,HD_63302,5718988927344562944,116.910542,-15.990694,9,RSG,+INDO+MILES,0,36.51161035444356
2307,HD_64238,5719544455591427712,118.078667,-14.846167,9,OK,+INDO,0,38.02213860498753
2338,HD_76376,5728949987284814848,133.801792,-18.241194,9,OK,+INDO,0,43.054567889761046
2340,HD_76579,5729969440722976768,134.142208,-16.70875,9,VAR,+INDO,0,44.47054567538385
2349,HD_78558,5731252295913584768,137.105167,-15.144778,9,OK,+INDO+MILES,0,47.437205684225404
2440,SAO_149918,2981136563934324224,72.434542,-15.741194,9,VAR,+INDO,0,37.25658330703171
2447,HD_51754,3112836479029139200,104.660583,-0.480472,9,OK,+INDO,0,48.09607887287445
2546,HD016784,5065735499806985856,40.161583,-30.135389,9,BIN,+MILES,0,45.26375897413718
2565,HD026965,3195919528989223040,63.818,-7.652861,9,VAR,+MILES,0,48.27783124545048
2570,HD029065,3185689878960742144,68.549042,-8.97025,9,OK,+MILES,0,44.99967027607877
2577,HD293857,3212100972896623104,77.790333,-4.181778,9,OK,+MILES,0,46.22090932603592
2578,HD034538,2988305826422644224,79.417667,-13.519833,9,OK,+MILES,0,36.820680482018645
2579,HD035155,3014902188065355264,80.577667,-8.666111,9,BIN,+MILES,0,41.15614456370829
2580,HD036003,3210731015768096000,82.10875,-3.499556,9,OK,+MILES,0,45.818196000493636
2581,HD037792,2967141533259094400,85.072625,-19.227167,9,BIN,+MILES,0,29.84189894876856
2583,HD038392,2964001014514075520,86.110583,-22.421889,9,VAR,+MILES,0,26.50778079416462
2587,HD039364,2965792913525710976,87.830417,-20.879083,9,SAT,+MILES,0,27.673019190056156
