counter,NAME,source_id,RA,DEC,flagbest,flagSIMBAD,library,primary,sepa
64,HD042682,5572962581890940160,92.54335,-40.353791,0,VAR,UVES,0,7.789232131192594
66,HD043318,3121655180756368128,93.892771,-0.512189,0,OK,UVES+INDO+MILES,0,47.390735464919004
67,HD045067,3118434397663311360,96.318943,-0.945883,0,OK,UVES,0,46.949205654133785
69,HD045725,3006953165675574272,97.20446,-7.033059,0,Be,UVES,0,40.88572426721941
70,HD046185,2952064789303651200,97.850984,-12.559692,0,OK,UVES,0,35.390950086953595
71,HD046462,5580297801916850048,97.93831,-37.173117,0,VAR,UVES,0,10.885652749419597
72,HD047116,2923818473022846976,99.021083,-24.118768,0,OK,UVES,0,23.94992947027096
73,HD047306,5501284972198817536,98.744083,-52.975609,0,OK,UVES,0,5.5372179982740635
76,HD048915,none,101.287155,-16.716116,0,none,UVES+CALSPEC,0,31.555159525120718
77,HD049131,5584339709742678528,101.379953,-30.948981,0,Be,UVES,0,17.56089570990687
78,HD049331,3098523380258573952,101.905087,-8.998503,0,SAT,UVES+MILES,0,39.28668314117361
79,HD049333,2926942116843379968,101.756181,-21.015403,0,VAR,UVES,0,27.36890742223587
80,HD049888,2952758856018716288,102.533704,-12.584753,0,BS,UVES,0,35.81395779529285
81,HD050241,5478862906452936960,102.04773,-61.941389,0,SAT,UVES,0,14.559482989712148
82,HD050896,2922367976673391232,103.55435,-23.92834,0,WR,UVES,0,24.837179072064856
83,HD051876,2947766145514856064,104.601026,-16.054604,0,OK,UVES,0,32.739147760127935
84,HD054605,none,107.09785,-26.3932,0,none,UVES,0,23.394861781614303
85,HD055892,5509770796785820416,108.140105,-46.759305,0,VAR,UVES,0,8.7591833184881
86,HD057167,3030977013710528768,109.867411,-16.395249,0,EB,UVES,0,33.68866665759155
87,HD058343,3028075299446506880,111.167447,-16.201473,0,Be,UVES+NGSL+INDO,0,34.265318710781386
88,HD058377,5605851482951097600,111.033311,-28.827882,1,OK,UVES,0,22.60142360168667
89,HD058978,5618635367207942400,111.747844,-23.086025,0,Be,UVES,0,28.047516602518243
90,HD059468,5493588665684618752,111.856101,-51.4026,1,OK,UVES,0,11.246978413580933
91,HD059967,5586381090520538880,112.677132,-37.339363,1,OK,UVES,0,16.50429112603902
92,HD060498,5591877995828084992,113.354958,-33.399899,0,OK,UVES,0,19.835828501758904
93,HD061429,5614158258941878144,114.575191,-25.364806,0,EB,UVES,0,27.151767532351457
95,HD062623,5599824647403389952,115.951953,-28.954826,0,ESG,UVES,0,24.737385100951453
96,HD062714,5487758058599409920,115.59908,-56.146016,0,VAR,UVES,0,14.883253366817808
97,HD063077,5588607120530408832,116.395505,-34.172552,0,OK,UVES+NGSL+STELIB,0,20.877734514111147
98,HD064972,5600487068801314048,118.840665,-28.283967,0,VAR,UVES,0,26.755357886801978
99,HD065810,5714859436545926016,119.966865,-18.399217,1,OK,UVES,0,35.664445895230585
100,HD065925,5537802295990019968,119.86819,-39.296947,0,DMS,UVES,0,19.637270272925132
101,HD066698,5597444857563449600,120.925133,-29.418955,0,VAR,UVES,0,26.98895349055801
102,HD066811,5534788672055388032,120.896031,-40.003148,0,SAT,UVES,0,19.918679801043588
103,HD067523,5698015743046182272,121.886037,-24.304324,0,SAT,UVES+NGSL+MILES,0,31.579803372672778
104,HD068761,5541506859905246976,123.114037,-36.989232,0,OK,UVES,0,23.055236596129063
105,HD068808,5519380081746387328,122.999861,-46.644349,0,VAR,UVES,0,18.73010208035236
107,HD072067,5523058154294668544,127.28153,-44.160414,0,Be,UVES,0,22.344748130552784
108,HD073634,5523539671667837952,129.41097,-42.98908,0,OK,UVES,0,24.216183024409805
109,HD074180,5521599549054493696,130.156542,-46.648744,0,SAT,UVES,0,23.476704489226275
110,HD074272,5329412200783621120,130.304704,-47.31713,0,OK,UVES,0,23.39939751570805
111,HD074966,5625409698860914432,131.451462,-36.74299,0,OK,UVES,0,28.629311679179132
112,HD075063,5329941409468845824,131.50685,-46.041529,0,SAT,UVES,0,24.54416313446753
113,HD075276,5329890866290156288,131.828518,-46.155416,0,OK,UVES,0,24.722674253386568
114,HD076131,5316688377342006912,132.939795,-55.808854,0,OK,UVES,0,24.207801119119015
115,HD076341,5524337882746365952,133.502558,-42.485768,0,ELS,UVES,0,27.16413577697562
116,HD076932,5730371484020807808,134.683053,-16.132727,0,OK,UVES+NGSL+INDO+MILES,0,45.2426027614538
117,HD077020,5328473355278379136,134.481495,-48.572909,0,OK,UVES,0,25.81427367233715
118,HD078791,5218900665015560064,136.286721,-72.602707,0,BIN,UVES,0,30.765780329110243
119,HD079698,5300463124771216896,138.231796,-59.413929,0,OK,UVES,0,27.316872844481377
120,HD080057,5423801425726635264,139.016791,-44.898722,0,VAR,UVES,0,29.887260840323613
121,HD080404,5300300156538723328,139.272529,-59.275232,0,SAT,UVES,0,27.833282932916955
122,HD081471,5313280715934982144,140.997225,-51.737081,0,OK?,UVES,0,29.24140707965161
123,HD082668,5306951892646516992,142.805496,-57.034377,0,SAT,UVES,0,29.665452149208463
125,HD083312,5247689452847083264,143.624142,-66.122235,0,Be,UVES,0,30.811366299764217
126,HD083368,5410092611674819840,144.105862,-48.751182,0,VAR,UVES,0,31.8964677874639
127,HD084461,5309205822766572032,145.925977,-53.891282,0,OK,UVES,0,31.779805375575748
129,HD085552,5432365968466188800,147.907927,-38.188636,0,OK,UVES,0,38.850583272876634
130,HD088366,5253294179046079872,152.34122,-61.549009,0,VAR,UVES,0,34.30139564234373
131,HD089587,5358432740734758528,154.760688,-50.716099,0,OK,UVES,0,37.81439139966422
132,HD089736,5365315790907090944,155.069648,-47.69909,0,OK,UVES,0,39.10680210934015
133,HD090132,5441977138905560576,155.872067,-38.00984,0,OK,UVES,0,44.23398062100527
134,HD090177,5255045082580350080,155.724346,-59.624545,0,BS,UVES,0,36.15582549239871
135,HD090264,5245074230075552128,155.742275,-66.901497,0,OK,UVES,0,35.69120253720139
136,HD090772,5351701122540337792,156.85196,-57.638805,0,VAR,UVES,0,37.09340212875784
138,HD091793,5440991156144997504,158.803546,-39.56259,0,C,UVES,0,45.31455199935478
141,HD092305,5199386085968886528,158.867113,-78.607787,0,SAT,UVES,0,38.168832240595535
142,HD092626,5364553966782362752,160.208219,-48.025103,0,BIN,UVES,0,42.1178076412091
143,HD092740,5350370026290390912,160.322983,-59.676916,0,WR,UVES+STELIB,0,38.431366175241216
144,HD093131,5254268071479968512,160.967741,-60.117783,0,WR,UVES,0,38.6556820875164
145,HD094660,5388486280466017536,163.754221,-42.251101,0,VAR,UVES,0,47.06533613627126
146,HD094910,5338220285385672064,164.048242,-60.453558,0,WR,UVES,0,40.06864589971002
147,HD094963,5241879697825137280,164.149111,-61.708969,0,ELS,UVES,0,39.83001396459296
148,HD095950,5338040205991255296,165.775642,-60.91073,0,RS,UVES,0,40.7760866861761
149,HD096917,5340725660047993600,167.177575,-57.065809,0,VAR,UVES,0,42.601800250016375
150,HD097082,5339394082770287232,167.421428,-58.837726,0,VAR,UVES,0,42.15142235920973
151,HD097253,5337669189536576000,167.675194,-60.384477,0,BIN,UVES,0,41.81430235150709
152,HD097534,5337672556798367360,168.150055,-60.317626,0,ESG,UVES,0,42.05850695586175
156,HD100841,5333974693006467328,173.945325,-63.019835,0,SAT,UVES,0,43.85969337921396
158,HD101584,5343168568718268800,175.245022,-55.573837,0,PAGB,UVES,0,47.30029783884162
159,HD101947,5333358794709001216,175.879968,-62.489396,0,VAR,UVES,0,44.871132675300665
161,HD102878,5334608080460780672,177.613654,-62.649382,0,OK?,UVES,0,45.560230239454384
162,HD104111,5334558087036932992,179.856744,-62.830947,0,CRO,UVES,0,46.44309354208291
163,HD104237,5836666564476158336,180.021195,-78.192935,0,HeAB,UVES,0,42.372693561799544
165,HD105056,5856117406232328832,181.457835,-69.573054,0,BS,UVES,0,44.69171435715062
166,HD105071,6052948267023660032,181.473417,-65.546876,0,OK,UVES,0,46.063740945148865
168,HD105211,6053245135154609280,181.720409,-64.613731,0,BIN,UVES,0,46.51274393222825
169,HD106068,6054416870941383296,183.091583,-62.950774,0,OK,UVES,0,47.740742381042395
