MILES_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioT,chiT,rchi2
2525049829240950144,2525049829240950144,  5.0785265,  5.6536002,  4.3491483,  1.3044519,NOT_AVAILABLE,      0,True, 30, 29,s0041.csv,OK,  1,   1.00,   0.04,   1.86
5033960575837265920,5033960575837265920,  7.8200030,  8.3022308,  7.1542478,  1.1479831,NOT_AVAILABLE,      0,True, 69, 71,s0042.csv,ChP,  0,   1.01,   0.03,   2.20
2804091414920169344,2804091414920169344,  8.3878632,  8.7909298,  7.8017960,  0.9891338,NOT_AVAILABLE,      0,True, 34, 37,s0043.csv,OK,  1,   1.01,   0.02,   1.73
523424885526785536,523424885526785536,  6.8943305,  7.8450880,  5.9230380,  1.9220500,VARIABLE,      0,True, 58, 59,s0044.csv,ESG,  0,   1.15,   0.48,  17.89
412052432178880000,412052432178880000,  6.0606890,  6.6591654,  5.3183217,  1.3408437,NOT_AVAILABLE,      0,True,107, 99,s0045.csv,OK,  0,   1.02,   0.04,   1.32
411413822074322432,411413822074322432,  4.9480124,  5.3266082,  4.4043818,  0.9222264,NOT_AVAILABLE,      0,True, 66, 62,s0046.csv,BIN,  0,   1.02,   0.03,   2.92
2470140321630664064,2470140321630664064,  3.1326482,  3.8601105,  2.5125904,  1.3475201,NOT_AVAILABLE,      0,True, 58, 59,s0047.csv,SAT,  0,   1.07,   0.14,   3.76
574112955678493824,574112955678493824,  3.8803709,  4.5182395,  3.1419032,  1.3763363,NOT_AVAILABLE,      0,True, 30, 30,s0048.csv,OK,  0,   1.02,   0.06,   1.81
371144105622104448,371144105622104448,  8.3123026,  8.5293169,  7.9303675,  0.5989494,NOT_AVAILABLE,      0,True, 29, 29,s0049.csv,OK,  0,   1.02,   0.03,   2.24
522534933950730240,522534933950730240,  7.5000443,  7.8987370,  6.9123383,  0.9863987,NOT_AVAILABLE,      0,True, 61, 57,s0050.csv,BIN,  0,   1.02,   0.05,   5.38
411220548543503488,411220548543503488,  6.3743830,  7.0048361,  5.6019740,  1.4028621,NOT_AVAILABLE,      0,True, 66, 61,s0051.csv,OK,  0,   1.02,   0.05,   3.51
309966797615673856,309966797615673856,  4.1980224,  4.7486377,  3.5049784,  1.2436593,NOT_AVAILABLE,      0,True, 22, 24,s0052.csv,OK,  0,   0.99,   0.04,   1.05
308866701872125568,308866701872125568,  5.3627467,  6.6433859,  4.2358265,  2.4075594,VARIABLE,      0,True, 25, 24,s0053.csv,BIN,  0,   0.98,   0.10,   2.28
5030366581563257088,5030366581563257088,  9.3699884,  9.9971523,  8.6110611,  1.3860912,NOT_AVAILABLE,      0,True, 58, 59,s0055.csv,BIN,  0,   0.98,   0.04,   1.97
2531779768115636992,2531779768115636992,  5.2808709,  5.7706556,  4.6185908,  1.1520648,VARIABLE,      0,True, 26, 26,s0056.csv,VAR,  0,   1.00,   0.06,   2.15
2593188145361730432,2593188145361730432,  7.9686813,  8.5332861,  7.2408996,  1.2923865,NOT_AVAILABLE,      0,True, 36, 33,s0057.csv,OK,  0,   1.01,   0.03,   3.08
2457106882592567936,2457106882592567936,  5.4356999,  5.5945373,  5.1480336,  0.4465036,NOT_AVAILABLE,      0,True, 59, 55,s0058.csv,OK,  0,   1.01,   0.03,   2.97
2565225915399877760,2565225915399877760,  4.3468328,  5.0948458,  3.5079517,  1.5868940,NOT_AVAILABLE,      0,True, 32, 30,s0059.csv,OK,  0,   1.03,   0.04,   1.35
2558296724402139392,2558296724402139392,  9.7044573,  9.9351530,  9.3151760,  0.6199770,VARIABLE,      0,True, 68, 67,s0060.csv,OK,  0,   1.07,   0.07,   1.70
