UVES_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj
HD088366,5253294179046079872,  5.9137588,  7.6226969,  4.6247115,  2.9979854,VARIABLE,      0,true, 31, 31,HD088366.fits.csv,VAR,  0,   0.29,   2.42,   0.33,  11.06,   1.92,   0.95,   2.40
HD089587,5358432740734758528,  6.8628283,  6.7831688,  6.9727607, -0.1895919,VARIABLE,      0,true, 58, 59,HD089587.fits.csv,OK,  0,   1.02,   0.04,   0.04,   4.14,   4.06,   4.29,   3.91
HD089736,5365315790907090944,  4.9787912,  5.9063473,  4.0282245,  1.8781228,NOT_AVAILABLE,      0,true, 56, 55,HD089736.fits.csv,OK,  0,   0.98,   0.05,   0.05,   9.20,   9.33,  12.43,   6.14
HD090132,5441977138905560576,  5.2775369,  5.4030070,  5.0439153,  0.3590918,NOT_AVAILABLE,      0,true, 70, 60,HD090132.fits.csv,OK,  0,   1.02,   0.05,   0.04,   9.36,   8.75,   7.15,   9.81
HD090177,5255045082580350080,  8.2015009,  8.8076220,  7.4034362,  1.4041858,VARIABLE,      0,true, 52, 52,HD090177.fits.csv,BS,  0,   0.29,   2.06,   0.17, 122.66,  11.83,  17.03,   5.46
HD090772,5351701122540337792,  4.4831128,  4.8073144,  3.9853415,  0.8219728,VARIABLE,      0,true, 29, 27,HD090772.fits.csv,VAR,  0,   1.12,   0.06,   0.05,   6.90,   5.37,   6.48,   4.39
HD091793,5440991156144997504,  4.1879239,  5.8172016,  3.0252049,  2.7919967,VARIABLE,      0,true, 53, 58,HD091793.fits.csv,C,  0,   1.03,   0.14,   0.14,   8.43,   7.79,   9.53,   6.79
HD092305,5199386085968886528,  3.4216900,  4.4064651,  2.5880539,  1.8184111,NOT_AVAILABLE,      0,true, 24, 23,HD092305.fits.csv,SAT,  0,   1.04,   0.08,   0.08,   5.21,   5.21,   6.27,   4.29
HD092626,5364553966782362752,  6.7717719,  7.3683014,  6.0412421,  1.3270593,NOT_AVAILABLE,      2,true, 58, 54,HD092626.fits.csv,BIN,  0,   1.00,   0.04,   0.04,   6.50,   6.94,   9.00,   4.92
HD092740,5350370026290390912,  6.2570052,  6.3452535,  6.0124536,  0.3327999,VARIABLE,      0,true, 35, 35,HD092740.fits.csv,WR,  0,   1.02,   0.07,   0.07,   4.87,   4.63,   5.64,   3.66
HD093131,5254268071479968512,  6.3700418,  6.3804202,  6.2533565,  0.1270638,VARIABLE,      0,true, 39, 38,HD093131.fits.csv,WR,  0,   1.02,   0.06,   0.06,   4.97,   5.03,   5.24,   4.84
HD094660,5388486280466017536,  6.0683947,  6.0390801,  6.0827351, -0.0436549,NOT_AVAILABLE,      0,true, 78, 71,HD094660.fits.csv,VAR,  0,   0.99,   0.04,   0.04,   6.27,   6.05,   5.60,   6.39
HD094910,5338220285385672064,  7.2879915,  7.6193609,  6.7283630,  0.8909979,VARIABLE,      0,true, 47, 48,HD094910.fits.csv,WR,  0,   0.60,   0.48,   0.23,   4.10,   3.10,   4.68,   0.70
HD094963,5241879697825137280,  7.1025600,  7.0451627,  7.1438646, -0.0987020,NOT_AVAILABLE,      0,true, 40, 39,HD094963.fits.csv,ELS,  0,   1.01,   0.04,   0.04,   2.43,   2.74,   4.00,   1.15
HD095950,5338040205991255296,  5.4932246,  6.7576437,  4.3695698,  2.3880739,VARIABLE,      0,true, 37, 37,HD095950.fits.csv,RS,  0,   0.98,   0.07,   0.07,   7.64,   7.78,  11.05,   4.03
HD096917,5340725660047993600,  7.0168395,  7.0482025,  6.8772335,  0.1709690,VARIABLE,      0,true, 48, 47,HD096917.fits.csv,VAR,  0,   1.04,   0.05,   0.04,   3.49,   3.86,   5.59,   1.72
HD097082,5339394082770287232,  6.5774384,  7.0281920,  5.9869881,  1.0412040,VARIABLE,      0,true, 45, 45,HD097082.fits.csv,VAR,  0,   0.99,   0.06,   0.06,   1.45,   1.34,   1.38,   1.31
HD097253,5337669189536576000,  7.0347204,  7.1065888,  6.8402939,  0.2662950,NOT_AVAILABLE,      0,true, 41, 41,HD097253.fits.csv,BIN,  0,   0.95,   0.04,   0.05,   4.72,   3.60,   4.37,   2.92
HD097534,5337672556798367360,  4.4313822,  4.7499704,  3.9103613,  0.8396091,NOT_AVAILABLE,      0,true, 30, 29,HD097534.fits.csv,ESG,  0,   0.99, -20.00, -20.00,   0.57,   0.57,   0.57,   0.57
HD099322,5398114596413589120,  4.9689512,  5.4507284,  4.3085880,  1.1421404,NOT_AVAILABLE,      0,true, 49, 47,HD099322.fits.csv,OK,  1,   1.00,   0.03,   0.03,   4.24,   4.09,   5.07,   3.22
HD100623,3478127463341507072,  5.7383237,  6.1541972,  5.1501684,  1.0040288,NOT_AVAILABLE,      0,true, 57, 51,HD100623.fits.csv,OK,  0,   1.17,   0.10,   0.05,  20.15,   9.70,  15.12,   5.35
HD100841,5333974693006467328,  3.1292858,  3.3398247,  3.0674758,  0.2723489,NOT_AVAILABLE,      0,true, 33, 33,HD100841.fits.csv,SAT,  0,   1.08,   0.20,   0.23,  12.16,  10.50,  14.92,   5.30
HD101065,5372587514128271232,  7.9347024,  8.2236538,  7.4950142,  0.7286396,NOT_AVAILABLE,      0,true, 56, 51,HD101065.fits.csv,VAR,  0,   0.87,   0.10,   0.09,  17.68,   9.26,  12.97,   4.95
HD101584,5343168568718268800,  6.9196382,  7.1031899,  6.4735765,  0.6296134,VARIABLE,      0,true, 56, 50,HD101584.fits.csv,PAGB,  0,   0.99,   0.04,   0.03,   4.59,   3.38,   4.08,   2.78
HD101947,5333358794709001216,  4.7915730,  5.2268314,  4.1824059,  1.0444255,VARIABLE,      0,true, 32, 32,HD101947.fits.csv,VAR,  0,   0.99,   0.05,   0.04,   3.15,   3.15,   3.39,   2.96
HD102878,5334608080460780672,  5.5906439,  5.7506576,  5.2739544,  0.4767032,VARIABLE,      0,true, 35, 31,HD102878.fits.csv,OK?,  0,   1.09,   0.08,   0.09,   8.43,   4.89,   8.65,   2.79
HD104111,5334558087036932992,  6.2606578,  6.4457469,  5.9013700,  0.5443769,NOT_AVAILABLE,      0,true, 41, 36,HD104111.fits.csv,CRO,  0,   0.99, -20.00, -20.00,   0.30,   0.30,   0.30,   0.30
HD104237,5836666564476158336,  6.5583506,  6.6785226,  6.2952437,  0.3832788,NOT_AVAILABLE,      0,true, 33, 33,HD104237.fits.csv,HeAB,  0,   0.73,   0.22,   0.14,  17.03,   6.35,   9.28,   2.74
HD104304,3575733210781078016,  5.3550773,  5.7311568,  4.8056283,  0.9255285,NOT_AVAILABLE,      0,true, 46, 39,HD104304.fits.csv,OK,  0,   1.05, -20.00, -20.00,   0.32,   0.32,   0.32,   0.32
HD105056,5856117406232328832,  7.3176084,  7.3382750,  7.2011180,  0.1371570,VARIABLE,      0,true, 52, 52,HD105056.fits.csv,BS,  0,   1.01,   0.04,   0.04,   2.35,   2.72,   3.81,   1.47
HD105071,6052948267023660032,  6.2251406,  6.3312025,  5.9835672,  0.3476353,VARIABLE,      0,true, 48, 44,HD105071.fits.csv,OK,  0,   0.98,   0.05,   0.05,   4.58,   3.22,   4.56,   1.61
HD105113,3466217935643483392,  6.4697828,  6.7657356,  5.9983735,  0.7673621,NOT_AVAILABLE,      0,true, 40, 38,HD105113.fits.csv,DMS,  0,   1.00,   0.03,   0.03,   3.07,   2.94,   3.45,   2.50
HD105211,6053245135154609280,  4.0608897,  4.2305994,  3.7365501,  0.4940493,NOT_AVAILABLE,      0,true, 43, 41,HD105211.fits.csv,BIN,  0,   1.00,   0.04,   0.04,   4.40,   4.02,   3.82,   4.19
HD106068,6054416870941383296,  5.8313837,  6.0024452,  5.4908795,  0.5115657,VARIABLE,      0,true, 37, 35,HD106068.fits.csv,OK,  0,   1.01,   0.02,   0.02,   2.47,   2.51,   2.55,   2.50
HD107446,6058271964884299520,  3.1038253,  3.9830196,  2.4314520,  1.5515676,NOT_AVAILABLE,      0,true, 46, 43,HD107446.fits.csv,SAT,  0,   0.90,   0.13,   0.13,  10.04,   5.53,   5.33,   5.67
HD108968,6058439910929477120,  5.2722187,  5.6101623,  4.7685614,  0.8416009,VARIABLE,      0,true, 45, 45,HD108968.fits.csv,VAR,  0,   0.95,   0.07,   0.07,   4.59,   4.07,   4.93,   3.34
