SPSS_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj
135,4328293291578459392, 13.3990622, 13.2584362, 13.6836290, -0.4251928,NOT_AVAILABLE,      0,True, 32, 29,V.3.4.SPSS135.csv,OK,  0,   0.98,   0.03,   0.03,   1.87,   1.85,   1.73,   1.95
136,1406378695954996352, 11.1000843, 11.4816341, 10.5376396,  0.9439945,NOT_AVAILABLE,      0,True, 43, 43,V.3.4.SPSS136.csv,OK,  1,   1.01,   0.01,   0.02,   2.65,   2.44,   2.68,   2.26
138,4394929125059652736, 12.3319941, 12.7152338, 11.7682600,  0.9469738,NOT_AVAILABLE,      0,True, 48, 49,V.3.4.SPSS138.csv,OK,  1,   1.00,   0.01,   0.01,   2.45,   2.95,   3.94,   1.98
139,4569481097095820032,  8.7184038,  9.0891657,  8.1561069,  0.9330587,NOT_AVAILABLE,      0,True, 71, 69,V.3.4.SPSS139.csv,ChP,  0,   1.03,   0.02,   0.02,   3.85,   3.84,   5.54,   1.87
144,4319908862597055232, 13.0189419, 12.9803782, 13.1257010, -0.1453228,NOT_AVAILABLE,      0,True, 41, 42,V.3.4.SPSS144.csv,OK,  1,   1.01,   0.03,   0.03,   1.78,   1.74,   2.34,   1.14
145,4296558843393685632, 10.5041418, 10.9269361,  9.9013920,  1.0255442,NOT_AVAILABLE,      0,True, 47, 48,V.3.4.SPSS145.csv,OK,  0,   1.02,   0.02,   0.02,   3.30,   2.71,   2.64,   2.77
146,1831553382794173824, 11.5365744, 11.4483452, 11.7237778, -0.2754326,NOT_AVAILABLE,      0,True, 42, 42,V.3.4.SPSS146.csv,OK,  1,   1.00,   0.03,   0.03,   2.37,   2.40,   2.73,   2.14
147,4228176122142169600, 10.4032402, 10.7272472,  9.9028692,  0.8243780,NOT_AVAILABLE,      3,True, 44, 44,V.3.4.SPSS147.csv,BIN,  0,   1.01,   0.02,   0.02,   2.89,   2.74,   3.62,   1.88
149,1871118140493076224, 13.0357943, 13.0057936, 13.1287975, -0.1230040,NOT_AVAILABLE,      0,True, 50, 49,V.3.4.SPSS149.csv,OK,  1,   1.00,   0.03,   0.03,   2.00,   1.97,   2.63,   1.34
151,6560067493827212544, 11.5978842, 11.4132824, 11.9562321, -0.5429497,NOT_AVAILABLE,      0,True, 73, 73,V.3.4.SPSS151.csv,OK,  0,   1.01,   0.05,   0.08,   5.85,   9.57,  13.35,   5.53
153,2011130908940738304, 12.4729042, 12.8888044, 11.8820181,  1.0067863,NOT_AVAILABLE,      0,True, 51, 51,V.3.4.SPSS153.csv,OK,  0,   1.02,   0.02,   0.02,   2.89,   2.53,   2.81,   2.32
154,1926568573456342272, 11.3523951, 11.6966438, 10.8298159,  0.8668280,NOT_AVAILABLE,      0,True, 77, 75,V.3.4.SPSS154.csv,OK,  1,   1.00,   0.01,   0.01,   2.79,   2.79,   3.17,   2.48
