SPSS_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj
328,3277270538903180160, 10.2432041, 11.0426311,  9.3676958,  1.6749353,NOT_AVAILABLE,      0,True, 52, 52,V.3.4.SPSS328.csv,OK,  1,   1.00,   0.03,   0.03,   2.49,   2.54,   3.12,   2.06
332,3089711447388931584,  9.1331692, 10.3375902,  8.0399036,  2.2976866,NOT_AVAILABLE,      0,True, 27, 27,V.3.4.SPSS332.csv,OK,  1,   1.00,   0.04,   0.04,   3.53,   3.63,   5.17,   1.91
334,3943234217765374336, 11.5249271, 12.6948338, 10.4385862,  2.2562475,VARIABLE,      0,True, 42, 41,V.3.4.SPSS334.csv,OK,  0,   1.01,   0.03,   0.03,   3.75,   3.75,   5.09,   2.41
335,1472718211053416320,  9.7154951, 10.8408842,  8.6577053,  2.1831789,NOT_AVAILABLE,      0,True, 56, 52,V.3.4.SPSS335.csv,OK,  1,   1.00,   0.04,   0.04,   4.28,   4.21,   6.03,   2.17
336,1503625448550796032,  9.4074650, 10.4584026,  8.3807564,  2.0776463,NOT_AVAILABLE,      0,True, 73, 71,V.3.4.SPSS336.csv,DMS,  0,   1.01,   0.03,   0.03,   3.31,   3.32,   4.52,   2.11
338,1428427236986209024,  9.1397686, 10.3453484,  8.0498886,  2.2954597,VARIABLE,      0,True, 32, 34,V.3.4.SPSS338.csv,OK,  0,   1.00,   0.04,   0.04,   3.11,   3.11,   3.83,   2.49
339,4519789321942643072,  9.8148832, 11.0123091,  8.7290020,  2.2833071,NOT_AVAILABLE,      0,True, 57, 56,V.3.4.SPSS339.csv,OK,  1,   1.00,   0.04,   0.04,   4.84,   4.88,   6.50,   3.32
340,4519789081415296128,  9.8053284, 11.0053434,  8.7184591,  2.2868843,NOT_AVAILABLE,      0,True, 54, 54,V.3.4.SPSS340.csv,OK,  1,   1.00,   0.04,   0.04,   4.66,   4.74,   6.60,   2.80
343,4227837442496206592, 15.0472565, 15.1846962, 14.7973518,  0.3873444,NOT_AVAILABLE,      0,True, 41, 38,V.3.4.SPSS343.csv,OK,  1,   1.00,   0.03,   0.03,   1.17,   1.18,   1.49,   0.89
344,4659706918202567936,  9.6858730, 10.2123890,  8.9914207,  1.2209682,NOT_AVAILABLE,      0,True,243,227,V.3.4.SPSS344.csv,ChP,  0,   1.01,   0.03,   0.03,   4.01,   3.88,   4.18,   3.66
345,4659680529922228096, 10.2933502, 10.4912004,  9.9619207,  0.5292797,NOT_AVAILABLE,      0,True, 37, 37,V.3.4.SPSS345.csv,OK,  1,   1.00,   0.02,   0.02,   2.31,   2.28,   2.38,   2.22
346,4755812790042069888, 11.3078575, 11.6066351, 10.8437500,  0.7628851,NOT_AVAILABLE,      0,True, 34, 33,V.3.4.SPSS346.csv,OK,  0,   1.02,   0.02,   0.02,   2.47,   2.36,   2.18,   2.50
347,5476400477145058816, 10.8176346, 10.9154367, 10.6379490,  0.2774878,NOT_AVAILABLE,      0,True, 30, 30,V.3.4.SPSS347.csv,OK,  0,   0.88,   0.60,   0.38,  45.47,  27.70,  41.85,   8.70
348,5284204302730217984, 11.7856359, 12.0808554, 11.3278999,  0.7529554,NOT_AVAILABLE,      0,True,254,242,V.3.4.SPSS348.csv,OK,  0,   1.56,   0.36,   0.02,  49.14,   2.44,   2.53,   2.39
349,5284151216932205312, 12.2218027, 12.1431589, 12.3643408, -0.2211819,NOT_AVAILABLE,      0,True,197,196,V.3.4.SPSS349.csv,OK,  0,   0.97,   0.02,   0.03,   3.30,   3.79,   4.70,   3.00
350,5006921282807193856,  9.8394794, 10.7615166,  8.8930092,  1.8685074,NOT_AVAILABLE,      0,True, 37, 36,V.3.4.SPSS350.csv,OK,  1,   1.01,   0.03,   0.03,   3.25,   3.28,   4.23,   2.41
351,3348071528591318272, 13.5240107, 13.8984928, 12.9803429,  0.9181499,NOT_AVAILABLE,      0,True, 28, 28,V.3.4.SPSS351.csv,OK,  1,   1.00,   0.02,   0.02,   1.32,   1.29,   1.48,   1.14
352,5020116556211470848, 12.8912344, 14.3627243, 11.7068663,  2.6558580,NOT_AVAILABLE,      0,True, 46, 47,V.3.4.SPSS352.csv,OK,  0,   1.04,   0.06,   0.05,   5.92,   5.55,   7.34,   3.84
